$^(.+?)、何を……$	$1, 무엇을……
$^(.+?)、す、凄いな、積極的だ……$	$1, 괴, 굉장하다, 적극적이다……
$^(.+?)の手は蕩けるような感触で、俺のペニスはすぐに射精の予感を感じる。$	$1의 손의 녹는 듯한 감촉으로, 나의 페니스는 곧바로 사정의 예감을 느낀다.
$^俺の目が覚めるまで、(.+?)はずっと手で奉仕していたのだろう。くちゅくちゅと淫靡な先走りが\1の手に濡れていた。$	내가 깨어날 때까지, $1는 쭉 손으로 봉사하고 있었을 것이다. 질척질척하고 음란한 앞달리기가 $1의 손에 젹셔지고 있었다.
$^くっ……(.+?)、積極的過ぎ……！$	큿…… $1, 적극적이야……!
$^ご主人様として情けないけれど、カリをぐりぐりと刺激する(.+?)の手に、俺はあっという間に射精に導かれる。$	주인님으로서 한심하지만, 칼리를 때굴때굴 자극하는 $1의 손에, 나는 순식간에 사정에 이끌린다.
$^どろどろの精液が、(.+?)の手にべっとりとこびりつく。$	끈적끈적한 정액이, $1의 손에 흠뻑 달라붙는다.
$^(.+?)がいっぱいするからだろ？$	$1가 가득 하기 때문일 것이다?
$^(.+?)が洗ってくれるの？$	$1가 씻어 줄래?
$^(.+?)の魅惑の微笑みに、俺は打ち抜かれてしまう。$	$1의 매혹의 미소에, 나는 뚫려 버린다.
$^その後も、俺は(.+?)に身を任せるのだった。$	그 뒤도, 나는$1에 몸을 맡기는 것이었다.
$^身体が蕩けてしまいそうな快楽。俺は黙って(.+?)に従う事にした。$	신체가 녹아 버릴 것 같은 쾌락. 나는 입다물어$1에 따르는 일로 했다.
$^(.+?)の口内は、俺への気持ちと唾液で熱く湿っている。$	$1의 입 안은, 나에 대한 마음과 타액으로 뜨겁게 축축해져 있었다.
$^俺に頼まれてもいないのに、俺に意識がある訳でもないのに……(.+?)は熱心に奉仕してくれている。$	내가 부탁한 것도 아니고, 나에게 의식이 있는 것도 아닌데…… $1는 열심히 봉사해주고 있다.
$^それが堪らなく嬉しく思ってしまう。すぐに俺は射精の予感を感じ、(.+?)にそれを伝えるが……$	그것이 대단히 기쁘다고 생각해 버린다. 곧바로 나는 사정의 예감을 느껴 $1에 그것을 전하지만……
$^これはこれで気持ちが良い。俺は熱心に裏筋を舌で扱く(.+?)に身を任せる。$	이것은 이것대로 기분이 좋다. 나는 열심히 음경을 혀로 훑는 $1에 몸을 맡긴다.
$^大量の精液が、(.+?)の口内に注がれていく。$	대량의 정액이, $1의 입안에 흘러 들어간다.
$^大量の精液を飲み込んで、(.+?)は淫靡な表情を浮かべる。$	대량의 정액을 삼켜, $1는 음미로운 표정을 띄운다.
$^そうかな、(.+?)が上手いから。$	그럴까, $1가 능숙하니까.
$^俺はそのまま(.+?)に身を任せるのであった。$	나는 그대로$1에 몸을 맡기는 것이었다.
$^可愛らしい(.+?)の声には、もう甘い響きが混じっている。$	귀여운 $1의 목소리에는 이제 달콤함이 섞여 있다.
$^(.+?)は俺の手を握り、自分の股間へと誘導していく。$	$1는 나의 손을 잡아서 자신의 사타구니로 가져간다.
$^たしかに、しとどに濡れた(.+?)の秘部が指に吸い付いてくる。$	확실히 흠뻑 젖은 $1의 음부가 손가락에 달라붙어 온다.
$^うん。アソコまで可愛いね、(.+?)は。$	응. 그곳까지 귀엽네, $1는.
$^注文通りに、(.+?)の膣内深くまで、指を差し入れて掻き回す。$	주문 대로 $1의 질속 깊숙이 손가락을 넣고 휘젓는다.
$^(.+?)は立ったままがくがくと足腰を震わせる。$	$1는 선 채로 몸을 부들부들 떤다.
$^余韻に浸る(.+?)は、しなだれかかるように体重を預けてくる。$	여운에 잠기는 $1는 애교를 부리며 몸을 기대어 온다.
$^……可愛かったよ、(.+?)。$	…… 사랑스러웠어, $1.
$^絶頂に達したのにかかわらず、まだ快感を貪ろうとする(.+?)。$	절정에 이르렀는데도 불구하고 아직도 쾌감을 탐하는 $1.
$^(.+?)は不満を漏らしながら、俺の前で膝を地面につける。$	$1는 불만을 토로하면서 내 앞에서 무릎을 땅에 붙인다.
$^大胆だね、(.+?)。$	대담하네, $1.
$^妬いてる(.+?)も……可愛いよ。$	질투하고 있는 $1도…… 사랑스러워.
$^(.+?)はそう言って、ペニスを先端から飲み込んでいく。$	$1는 그렇게 말하면서 페니스를 끝에서부터 삼켜 간다.
$^(.+?)は情熱的すぎるほどに、俺のペニスから劣情を吸い取ろうとしてくる。$	$1는 너무 정열적이다 싶을 정도로, 나의 페니스에서 정욕을 빨아 들이려고 한다.
$^ああ、最高だよ、(.+?)。$	아아, 최고야, $1.
$^(.+?)の口の中へと、大量の精液を解き放った。$	$1의 입속으로 대량의 정액을 쏟아냈다.
$^口の中でいやらしく精液を味わう(.+?)。$	입 안에서 음란하게 정액을 맛 보는 $1.
$^(.+?)は、酔っていても俺のことばかり考えて、ヤキモチを妬いてくれる。$	$1는 취해 있어도, 나만 생각하면서 질투를 한다.
$^そんな(.+?)が愛おしくなって、同時に、俺の下半身はまた疼きはじめていた。$	그런 $1가 사랑스러워서 동시에 나의 하반신은 다시 욱신거리기 시작했다.
$^部屋に向かう途中、(.+?)が甘く囁きかけてきた。$	방으로 향하는 도중에 , $1가 달콤하게 속삭여 왔다.
$^その少しだけ幼くなったような(.+?)が可愛らしくて、俺はすぐに応える。$	그렇게 조금 어려진 것 같은 $1가 귀여워서 나는 곧바로 응한다.
$^……(.+?)って、情熱的だよね。$	……$1는 정열적이네.
$^(.+?)は嬉しい事を言ってくれる。$	$1는 기쁜 말을 해준다.
$^発情しているのか、(.+?)は瞳を潤ませ、身を捩る。$	발정하고 있는 건지, $1는 눈물을 글썽거리며 몸을 비비 꼰다.
$^そう聞くと、(.+?)は頬を真っ赤に染めて身体ごと後ろを向く。$	그렇게 묻자, $1는 뺨을 붉게 물들이여 몸을 뒤로 돌린다.
$^(.+?)は、俺に対して淫らな言葉を聞かせてくれる。$	$1는 나에게 음란한 말을 들려준다.
$^俺は(.+?)の淫らな言葉で張り詰めたペニスを、(.+?)の秘部にぐっと押し込んでいく。$	나는 $1의 음란한 말로 팽팽해진 페니스를 $2의 음부에 꾹 밀어넣는다.
$^(.+?)は、見つかるという事よりも、俺とできるほうが嬉しいらしい。$	$1는 보일 수도 있다는 것 보다는, 나랑 할 수 있는 편이 기쁜 것 같다.
