いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
す、ステージで……夜伽をするのっ……？　は、恥ずかしすぎるんだけど……ばかじゃないの……？	스, 스테이지에서…… 밤시중을 한다고……? 너, 너무 부끄러운데…… 바보 아냐……?
ええ……ご、ご主人様のお部屋ね……女の子を部屋に連れ込んで、何をするつもりなのかしら……？	응…… 주, 주인님의 방이네…… 여자 아이를 방에 데리고 가서 뭘 할 생각일까……?
プレイルーム、ね……そ、それにしても、プレイルームって響きがもう……なんだかいやらしくない……？	플레이 룸이네…… 그, 그나저나 플레이 룸이란 말은…… 뭔가 야하지 않아……?
プ、プールでするの……？　なんでそんなところで……誰かに見られたら……ありえない……	수, 수영장에서 하는 거야……? 왜 그런데서…… 누군가에게 보여지면…… 말도 안돼……
あのお部屋ね……痛いのとか、苦しいのとか……そんな事したら許さないからね。	그 방…… 아픈 거라든지 괴로운 거라든지…… 그런 걸 하면 용서하지 않을 거니까.
お風呂、ね……アタシとお風呂でしたいんだ……んぅ、恥かしいのよ、もう……	목욕탕이네…… 나랑 목욕하고 싶은 거네…… 부끄러워 벌써……
な、中庭って……だ、誰か来たらどうするつもりよ……？　え、エッチな声も聞かれちゃうかもしれないじゃないっ……	아, 안뜰은…… 누, 누가 오면 어쩔 생각이야……? 야, 야한 소리가 들려 버릴지도 모르잖아……
アタシの部屋、あんまり汚さないでよ？……え、エッチなことすると、臭いもついちゃいそうね……あううっ……	내 방 너무 더럽히지 마? …… 야, 야한 짓을 하면 냄새가 밸 것 같아…… ……
和室、好きよ……夜伽がってわけじゃないわよ？　あくまで畳の臭いとか、和の雰囲気ってことだから。	일본식 방 좋아해…… 밤시중이라서 그런게 아니거든? 어디까지나 다다미의 냄새라든지 일본식 분위기라는 거니까.
ペントハウスなんて、素敵ね……いやらしいことをするのに変わりはないんだけど……まぁいいかな……	펜트하우스라니 멋지네…… 야한 일을 하는 건 변함없지만…… 뭐 좋으려나……
外って……えぇっ！？　な、なんでそんな危ないところでしようとするのよっ……こ、これだからご主人様はっ……	밖이라니…… 에엣!? 왜, 왜 그렇게 위험한 곳에서 하려는 거야…… 이, 이러니까 주인님은……
キッチンねぇ……なんでそんな場所で夜伽をしようと思ったのか、全然わからないわね……	부엌이네…… 왜 그런 장소에서 밤시중을 하려고 생각했는지 전혀 모르겠네……
わかったわ……それなら、周りが見えなくなるぐらい、激しくして？……アタシは、ご主人様のものなんだから……	알았어…… 그럼 눈에 보이는 게 없을 정도로 격렬하게 해줘? …… 나는 주인님의 것이니까……
ふふっ……アタシ、ご主人様のお部屋好きよ……ご主人様の臭いでいっぱいだから……	후훗…… 나, 주인님의 방 좋아해…… 주인님의 냄새로 가득하니까……
ふふ、あそこなら、ご主人様といっぱいできそうね。アタシのこと、ちゃんと可愛がってね？	후후, 거기라면, 주인님과 잔뜩 할 수 있겠네. 날 제대로 귀여워 해줘야 해?
あ、アタシは平気よ……ご主人様と一緒なら、プールでも、どこでもいいわよっ……	나, 나는 괜찮아…… 주인님과 함께라면 수영장이든 어디든 좋아……
ＳＭルームね。アタシは、ご主人様になら何をされても大丈夫だから……受け止めてみせるから。	SM룸이네. 나는 주인님에게라면 뭘 당해도 괜찮으니까…… 받아 들여 보일테니까.
ふふっ……ねえ、ご主人様？　せっかくお風呂に入るなら、洗いっことか、アタシといちゃいちゃして欲しいんだけど……だめ？	후훗…… 저기, 주인님? 모처럼 목욕하는 거니까 나랑 러브러브해줬으면 좋겠는데…… 안돼?
ご主人様がそう言うなら、しょうがないけど……あ、アタシはご主人様以外には見られたくないんだからね……	주인님이 그렇게 말하면 어쩔 수 없지만…… 나, 나는 주인님 외에는 보여지고 싶지 않으니까……
ふふっ、いいわねそれ。どうせなら、毎日アタシの部屋で寝てもいいわよ？	후훗, 좋네 그거. 이왕이면 매일 내 방에서 자도 괜찮은데?
ご主人様……アタシ、畳とか汚しちゃうかもしれないけど……いい？　今日はいっぱい、愛し合いたいの……	주인님…… 나, 다다미같은 걸 더럽혀 버릴지도 모르는데…… 괜찮아? 오늘은 잔뜩 서로 사랑하고 싶어……
ふふ、ご主人様、アタシ嬉しい……やっぱりご主人様と愛し合うなら、そういう綺麗なところのほうがいいわ。	후후, 주인님, 나 기뻐…… 역시 주인님과 서로 사랑한다면, 그런 예쁜 장소인 편이 좋아.
そ、外でするのねっ……アタシはいいけど、ご主人様、ちゃんと見つからないようにしてね……？　さすがに外だと気をつけないとだから……	바, 밖에서 하는 거네…… 나는 괜찮지만. 주인님, 꼭 발견되지 않게 해……? 역시 밖이라면 조심해야 하니까……
その、エプロンとかつけたほうがいい……？　に、新妻プレイとか……あぅ……ご、ご主人様の好きにして……	그, 앞치마라도 두르는 편이 좋아……? 새, 새 색시 플레이라든지…… …… 주, 주인님 마음대로 해……
んふ……ご主人様ぁ……今日はいっぱいしてね……？	…… 주인님…… 오늘은 잔뜩 해줘……?
うん、もちろん。そのつもりだよ。	응, 물론. 그럴 생각이야.
やったぁ……あたしもう、うずうずしちゃってるから……いっぱい、きもちよくしてほしいの……	휴…… 나 벌써 하고싶어서 근질근질하고 있으니까…… 잔뜩 기분 좋게 해줬으면 좋겠어……
ね、ねえ……ご主人様……ここで、ちょっとだけ、えっちなことして……？	저, 저기…… 주인님…… 여기서 조금만 야한 거 해줄래……?
ここで？　あと少しで部屋につくのに？	여기서? 조금만 있으면 방에 도착하는데?
う、うんっ……あたしのあそこ、もう濡れちゃって……触って欲しくなっちゃったからぁ……	…… 내 거기가 벌써 젖어 버려서…… 만져주길 원하고 있으니까……
しょうがないなぁ……触るだけだよ？	어쩔 수 없네…… 만지는 것 뿐이야?
んっ……ひぅっ……ご主人様の指ぃ……あ、ん……あったかい……	읏, 히앗………… 주인님의 손가락…… 아, 응 …… 따뜻해……
……本当に濡れてるね。	…… 진짜 젖어있네.
あ、んんっ……そう、なのぉ……あたしのあそこ、期待して……もうとろとろになっちゃってたの……	아…… 그, 그래…… 내 거기는 하고 싶어서…… 벌써 질척질척해져 버렸어……
ご主人様に、可愛がってほしくて……んっ、くぅんっ……ひくひくしてるでしょ……？	주인님에게 귀여움 받고 싶어서………… 움찔움찔 하고 있잖아……?
ひぁっ、ぁぁ、やぁ……恥ずかしいのにっ……あそこも勝手にっ……ご主人様に、甘えちゃってるのっ……んっ、ふぁぁ……	히앗, 아아, 싫어…… 부끄러운데…… 거기가 제멋대로…… 주인님에게 어리광부리고 있어…………
このままイキたい？	이대로 가고 싶어?
問いかけながら、俺は指の動きを速めていく。	물어 보면서 나는 손가락의 움직임을 빠르게 한다.
んくっ……ひぁっ！　うん、イキたいっ……このまま、ご主人様の指で、イカせてほしいのっ……んっ、んぅっ……！	……가고 싶어…… 이대로 주인님의 손가락으로 가게 해줬으면 좋겠어…………!
後でっ、夜伽で、いっぱいお返しのご奉仕するからぁ……このまま、や、ぁぁんっ……！　このまま続けてっ……？　んっ、はぁ……！	나중에 밤시중에서 답례로 잔뜩 봉사할테니까…… 이대로, 싫어 ……! 이대로 계속해줘……? ……
んっ、はぁ、んはぁっ……！　もっと激しくして……あたしの中まで、指でぐちゃぐちゃにしてぇっ……！	…… 좀 더 격렬하게 해줘…… 내 안쪽까지, 손가락으로 엉망진창으로 해줘……!
あぁぁっ、んっくぅっ！　ご主人様の、ゆびぃぃ……あたしの、弱いとこ、擦ってっ、んんんっ！　あたしもう、イ、イキそうなのっ、んんんっ！	아아아앗! 주인님의 손가락…… 내 약한 곳을 비벼서, 나 이제 가, 갈 것 같아!
ほら……イっていいよ。	자…… 가도 좋아.
うん、うんんっ、あ、あたしイクからっ、あぁぁっ！　ご主人様の指で、んっ、んっ……イ、イクっ、イクイクイクっ……んっ、くぅうううんっ！	나, 나 가버리니까, 아아앗! 주인님의 손가락으로…… 가, 가버려, 가, 가, 가……!
あ、あ、あぁああああ～……っ！！　あくっ！　あ、ん、くぁああっ……！	아, 아, 아아아아아아~……!! ……!
はぁぁっ、んっ、ふぁぁ……はぁっ、はぁ…………あたし、こんなにあっけなく……ご主人様に弄られて、イっちゃったぁ……	…… 하앗, 하아………… 나 이렇게 쉽게…… 주인님에게 만져져서 가 버렸어……
はぁ、はぁ……ご主人様の指も……素敵だったぁ……やっぱりあたし、ご主人様がいないともうだめかも……	하아, 하아…… 주인님의 손가락도…… 멋져…… 역시 난 주인님이 없으면 이제 안되겠어……
ね？　続きしよ……お部屋で、もっといっぱい、エッチなことして……あたしをもっとイカせてぇ……？	저기? 계속하자…… 방에서 좀 더 잔뜩 야한 거 하자…… 날 좀 더 가게 해줘……?
そんな熱にあてられてか、もう俺もすっかり滾っていた。	그런 열기에 맞춰진 듯 이제 나도 완전히 달아오르고 있었다.
ご主人様……？　さっきおしゃべりしてた時……よそ見してなかった……？	주인님……? 좀 전에 이야기하고 있을 때…… 곁눈질 하고 있지 않았어……?
あぁ、見たことのないメイドさんがいてね……ちょっと気になっちゃって。	아, 본 적이 없는 메이드가 있어서…… 조금 신경 쓰였어.
なによ、それぇ……どうせエッチな目で見てたんでしょ……？　あたしが一緒にいたのに……	뭐야, 그게…… 어차피 야한 눈으로 보고 있었던 거지……? 내가 같이 있는데……
はは、そんなことはないよ？	하하, 그렇지 않은데?
もぅ……ご主人様ってば、すぐ笑ってごまかすんだから……	정말…… 주인님은 정말 금방 웃으면서 넘어간다니까……
そのまま俺のペニスを取り出して、じっとこちらを見つめてくる。	그대로 나의 페니스를 꺼내고 가만히 이쪽을 바라본다.
あたし以外のこと……エッチな目で見ちゃだめなんだからね？　あたしがここで……ご主人様の、絞りとってあげる……	나 말고 다른 여자를…… 야한 눈으로 보면 안 된다구? 내가 여기서…… 주인님을 짜내 줄게……
ちゅ……ちゅ……れるぅ……はぁ……ほらぁ……あたしの舌、きもちいいでしょ？　ご主人様ぁ……	……………… 하아…… 봐…… 내 입 기분 좋지? 주인님……
んちゅ、ちゅっ……だって、ご主人様が……他の女の子のこと、考えてるなんていやだもん……ちゅっ、ちゅっ……れろぉ……	…… 주, 주인님이…… 다른 여자를 생각하는 건 싫단 말야…………
ちゅ……ご主人様は、みんなに可愛いって言ってるんでしょ……？　そんなの、だめなんだから……全部、あたしがもらっちゃうんだからぁ……	…… 주인님은 모두에게 귀엽다고 말하는 거지……? 그럼 안 되니까…… 전부 내가 받아버릴 거니까……
んぷ、ちゅぷぷっ……！　んっ、んぅっ、んちゅ、じゅぷっ……ごひゅじんひゃまは、あたひのものなんらからぁ……んじゅ、ちゅるるっ……！	………… 주이니믄 내 꺼니까………!
んじゅっ、じゅぷぅ……！　ぜったい、だれにも、あげたりなんてしないんだからっ……んむっ、じゅるる！　んっ、んっ、んっ……！	…… 절대로 아무한테도 안 줄 거니까…………!
いきなりの強烈な快感に、腰がひけてしまいそうになる。	갑작스러운 강렬한 쾌감에 허리가 당겨진다.
ぷぁっ……はぁ……はぁ……ね？　あたしがいちばん、上手くできるんだから……	…… 하아…… 하아…… 저기? 내가 제일 잘 할 수 있으니까……
んふっ……うれしぃ……このまま最後まで、きもちよくしてあげるから……ちゃんと出してね……？	…… 기뻐…… 이대로 끝까지 기분 좋게 해줄테니까…… 제대로 싸야 해……?
あむぅ……んっ、じゅるるっ！　ごひゅじんひゃまぁ……んっ、んじゅっ、じゅぷっ！　しゅきぃ、んっ、しゅきなのぉ……んっ、んんっ……！	…… 주이니임…… 조아해, 조아해…………!
