キャラクター	캐릭터
昼	낮
夜	밤
$^名前：(.+?)スケジュールから削除して宜しいですか。$	이름: $1\n스케줄에서 삭제해도 괜찮습니까?
説明	설명
条件	조건
裁縫	재봉
料理	요리
華道	화도
教養	교양
化粧	화장
エステ	에스테틱
掃除	청소
模様替え	재배치
派遣	파견
接客練習	접객연습
メイド研修	메이드 연수
メイドパラメータ	메이드 파라미터
習得率	습득률
好感度	호감도
接待	접대
お世話	시중
可憐	청순
気品	기품
魅惑	매혹
指導	지도
メイドクラスEXP	메이드 클래스 EXP
クラブコンディション	클럽 컨디션
クラブ接待	살롱 접대
メイドがエンパイアクラブに来店されるお客様を接待します。	메이드가 엠파이어 클럽에 방문한 고객을 접대합니다.
育成中のメイドでない	육성 중인 메이드가 아님
夜伽	밤시중
メイドと夜伽を行います。	메이드가 밤시중을 듭니다.
メイド長が育成メイドに指導を行います。	메이드장이 육성중인 메이드에게 지도를 실시합니다.
メイド長から指導を受けます。	메이드장에게 지도를 받습니다.
昼仕事にメイド研修がセットされている	낮 일정에 메이드 연수가 설정되어있다
騙され接待01	속아서 접대 01
VIPから「君の専属メイドと是非とも夜伽をしたい」とのご依頼です。専属メイドと客の夜伽はエンパイアクラブのルールで禁じられていますが……？	VIP로부터 「당신의 전속 메이드에게 부디 밤시중을 받고싶다」는 의뢰입니다.\n전속 메이드와 손님의 밤시중은 엠파이어 클럽의 룰로 금지되고 있습니다만……?
騙され接待02	속아서 접대 02
前回と同じVIPから「同じ専属メイドとまた夜伽をしたい」とのご依頼です。専属メイドへの行為はエスカレートしているようです。	지난번과 같은 VIP로부터 「같은 전속 메이드에게 또 밤시중을 받고싶다」는 의뢰입니다.\n전속 메이드에게로의 행위는 에스컬레이트하고 있는 것 같습니다.
騙され接待03	속아서 접대 03
「騙され接待02」と同じVIPからの、三度目となる専属メイドとの夜伽のご依頼です。専属メイドはおそらく最後までVIPと……	「속아서 접대 02」와 같은 VIP로부터의, 3번째가 되는 전속 메이드와의 밤시중의 의뢰입니다.\n전속 메이드는 아마도 마지막까지 VIP와……
騙され接待（報告）	속아서 접대（보고）
