新しいメイドを雇用しますか?資金 -3,000,000CR	새로운 메이드를 고용합니까?\n자금 -3,000,000 CR
土屋 よし子を雇用しますか?資金 -4,000,000CR	도야 요시코를 고용합니까?\n자금 -4,000,000 CR
宮原 安祐美を雇用しますか?資金 -8,000,000CR	미야하라 아유미를 고용합니까?\n자금 -8,000,000 CR
一之瀬 桜を雇用しますか?資金 -16,000,000CR	이치노세 사쿠라를 고용합니까?\n자금 -16,000,000 CR
椎名 藍依を雇用しますか?資金 -32,000,000CR	시이나 아이를 고용합니까?\n자금 -32,000,000 CR
$^(.+?)を解雇しますか\?資金 \+10,000CR$	$1를 해고합니까?\n자금 +10,000 CR
$^(.+?)を解雇しました$	$1를\n해고했습니다
駆け出しのメイドにぴったりなメイドクラス。最初はここから始まります。メイドの作法をしっかり覚えていきましょう。	신출내기 메이드에 좋은 메이드 클래스. 처음에는 이곳에서 시작됩니다.메이드의 범절을 완전 외우고 갑시다.
可憐なメイドにぴったりなメイドクラス。守ってあげたくなるような可愛さを滲ませます。	사랑스러운 메이드에게 딱 맞는 메이드 클래스. 지키고 주고 싶어진 귀여움을 흐리겠습니다.
優雅な振る舞いがとても似合うメイドためのメイドクラス。普段から優雅に振る舞っていると、ついつい紅茶を淹れたくなるようです。	우아한 행동이 참 잘 어울리는 메이드 위한 메이드 클래스. 평소 우아하게 행동하고 있다고, 바로 홍차를 마시고 싶어집니다.
セクシーな魅力で周りを惹きつけるメイドのためのメイドクラス。刺さる視線がもっとメイドをセクシーにしていきます。	섹시한 매력으로 주위를 끄는 메이드를 위한 메이드 클래스. 찔리다 시선이 더 메이드를 섹시하게 합니다.
無垢な心を忘れないメイドのためのメイドクラス。小さな気遣いや思いやりが、周りの人々を幸せにしていきます。	무구한 마음을 잊지 않아 제작을 위한 메이드 클래스. 작은 배려나 배려가 주위 사람을 행복하게 만들어 갑니다.
ステキな魅力を振りまくメイドのためのメイドクラス。内面から溢れ出す不思議な魅力に、虜になってしまいそうです。	멋진 매력을 뿌리는 메이드를 위한 메이드 클래스. 내면에서 넘쳐나는 신기한 매력에 사로잡힐 것 같습니다.
落ち着いたレディのためのメイドクラス。品のあるレディを目指すメイドにも。最高のレディを目指していきましょう。	차분한 레이디를 위한 메이드 클래스. 품위 있는 레이디를 목표로 제작에도.최고의 레이디를 목표로 갑시다.
夜伽経験の浅い未熟なメイドにぴったりな夜伽クラス。夜伽の道は茨の道。じっくり技術を磨いていきましょう。	밤시중 경험이 적은 미숙한 메이드에 좋은 밤시중 클래스. 잠자리 시중의 길은 가시밭 길. 차분히 기술을 닦고 갑시다.
夜伽に対して積極的なメイドにぴったりな夜伽クラス。美しくも淫らで、抜け出せない沼へようこそ。	밤시중에 대해서 적극적인 메이드에게 좋은 밤시중 클래스. 아름답고도 음란하고 벗어나지 못하는 늪에 어서 오세요.
被虐的なプレイも嬉々として受け入れてしまうメイドにぴったりな夜伽クラス。気絶には気を付けましょう。	피학적 플레이도 열정적으로 받아들이는 메이드에게 좋은 밤시중 클래스. 기절에 주의하세요.
ちょっぴり変態的なプレイがクセになりそうなメイドにぴったりな夜伽クラス。だんだんそれもクセになる？	좀 변태적인 플레이가 버릇이 된 메이드에게 좋은 밤시중 클래스. 점점 그것도 버릇이 될까?
奉仕をすることや、人に尽くすのが好きなメイドにぴったりな夜伽クラス。ご主人様の幸せが、メイドの幸せです。	봉사를 함이나, 사람에게 다하는 것이 좋아하는 메이드에게 좋은 밤시중 클래스. 주인의 행복이 메이드의 행복이예요.
夜伽を自分からリードしていきたいと思うメイドにぴったりな夜伽クラス。甘くて淫靡な快楽の虜です。	밤시중을 직접 주도하고자 메이드에게 어울리는 밤시중 클래스. 달고 음미한 쾌락의 포로입니다.
