演出を簡略化しますか?	연출을 간략화합니까?
ラブリーメイドを入手	러블리 메이드를 입수
エレガンスメイドを入手	엘레강스 메이드를 입수
セクシーメイドを入手	섹시 메이드를 입수
イノセントメイドを入手	이노센트 메이드를 입수
チャームメイドを入手	챠밍 메이드를 입수
レディーメイドを入手	레이디 메이드를 입수
ルードネスメイドを入手	루드니스 메이드를 입수
スレイブメイドを入手	슬레이브 메이드를 입수
アブノーマルメイドを入手	앱노멀 메이드를 입수
サービスメイドを入手	서비스 메이드를 입수
エスコートメイドを入手	에스코트 메이드를 입수
ソープメイドを入手	소프 메이드를 입수
スウィートメイドを入手	스위트 메이드를 입수
パーティメイドを入手	파티 메이드를 입수
セックススレイブメイドを入手	섹스 슬레이브 메이드를 입수
フェスティバルメイドを入手	페스티벌 메이드를 입수
ロイヤルソープメイドを入手	로열 소프 메이드를 입수
インモラルメイドを入手	임모럴 메이드를 입수
ハーレムメイドを入手	하렘 메이드를 입수
プレイメイドを入手	플레이 메이드를 입수
ブライドメイドを入手	브라이드 메이드를 입수
サキュバスメイドを入手	서큐버스 메이드를 입수
クイーンメイドを入手	퀸 메이드를 입수
新しいクラスを貰えませんでした。	새로운 클래스를 받을 수 없었습니다.
今回新しくクラスを獲得したメイドは以上です。	이번 새롭게 클래스를 획득한 메이드는 이상입니다.
今回は新しいクラスを誰も貰えませんでした。	이번은 새로운 클래스를 아무도 받을 수 없었습니다.
