下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
強弱をつけられ、俺のペニスが弄ばれていた。	강약을 붙여져 나의 페니스가 희롱해지고 있었다.
ふぅん……面白い、かも……んっ……寝ててもこんなんなんだ……？	응…… 재미있는, 일지도…… 읏…… 자도 이런 것이다……?
あれ、おきちゃったぁ……？　このまましこしこして、出させるのも面白そうだったけど……	저것, 규정 끝냈다아……? 이대로 쫄깃쫄깃 해, 내게 하는 것도 재미있을 것 같았지만……
ま、ご主人様の、その……気持ち良さそうな顔、好きだし、んっ……アタシの手でいっぱい感じてね……？	뭐, 주인님의, 그…… 기분 좋은 것 같은 얼굴, 좋아하고, 읏…… 나의 손으로 가득 느껴……?
ん……朝から、いっぱい……手コキしてあげる……んぅうん……	응…… 아침부터, 가득…… 손 애무 해 주는…… 우응……
んっ……んんぅっ……んぅっ……あっ、はぁっ……あぅっ……んっ、はぁっ……くぅっ……あっ……んくぅっ……んっ……はぁっ……	응…… 응응웃…… 응웃…… 앗, 하앗…… 아웃…… 읏, 하앗…… 쿠웃…… 앗…… 응쿠웃…… 읏…… 하앗……
はぁっ、はぁっ……んっ、んぅっ……！　あっ、はぅっ……んっ、くぅん……あっ、はぅっ！　んっ、んっ……んっ、んくぅっ……んんっ……！	후~, 하앗…… 읏, 응웃……! 앗, 하웃…… 읏, 쿠응…… 앗, 하웃! 읏, 읏…… 읏, 응쿠웃…… 응읏……!
ふああぁっ！！　……くぅ……いっぱい……	아!! …… 쿠우…… 가득……
出し過ぎぃ……はぁ、はぁ、手、べとべとになっちゃったじゃない……ふふっ……	너무 내고…… 하아, 하아, 손, 끈적끈적이 되어 버렸지 않은…… 후훗……
……もぉ、こんな凄い、その……精液の匂いしてたら、その……ドキドキして……	…… 도, 이런 굉장한, 그…… 정액의 냄새나 하고 있으면, 그…… 두근두근 해……
あぁ、でも、このままじゃダメだから……お、お風呂、いこっか……？	아, 그렇지만, 이대로는 안되기 때문에…… 요, 욕실, 갈까……?
…………洗うだけで、いいの？	………… 씻는 것만으로, 좋은거야?
エッチな音が下半身から響く。	엣치한 소리가 하반신으로부터 영향을 준다.
唾液のどろどろとした感触が、生々しい快楽を高めてくれていた。	타액의 질척질척으로 한 감촉이, 생생한 쾌락을 높여 주고 있었다.
