位	위
名            前	이　름
名　　　前	이　름
名前	이름
契約タイプ	계약 종류
育成中	육성중
専属	전속
フリー	프리
レンタル	렌탈
つ　よ　さ	난　이　도
レンタル期間	렌탈 기간
品評会を拡張しますか?費用 : 50,000,000CR	품평회를 확장합니까?\n비용 : 50,000,000 CR
品評会を行うメイドを選択してください。	품평회를 실시하는 메이드를 선택해 주세요.
クラス審査	클래스 심사
品評会メイドバトル	품평회 메이드 배틀
メニューへ戻る	메뉴로 돌아간다
仕事中のメイドとコミュニケーションを行いますか？	업무중의 메이드와 커뮤니케이션을 실시합니까?
コミュニケーションを行うメイドを選択してください。	커뮤니케이션을 실시하는 메이드를 선택해 주세요.
ダンスを行うメイドを選択してください。	댄스 할 메이드를 선택하세요.
今日は誰と夜伽をしようかな。	오늘은 누구와 밤시중을 할까나.
夜伽を行うメイドを選択してください。	밤 시중 할 메이드를 선택하세요.
まだ夜伽を実行していないメイドがいます。本日の夜伽を終了しますか？	아직 밤시중을 실행하고 있지 않는 메이드가 있습니다. 오늘의 밤시중을 종료합니까?
VIP接待を行うメイドを選択してください。	VIP 접대를 실시하는 메이드를 선택해 주세요.
メイドを選択してください。	메이드를 선택해 주세요.
プロフィール	프로필
対戦相手は雇用中のため対戦できません。	대전상대는 고용중으로 대전할 수 없습니다.
人気アイドル目指して早数年。鳴かず飛ばずのC級アイドル。毎日電車で通ってます。メイド稼業を始めたが、何をやっても上手くいかず、失敗続きでクビ寸前。しかし彼女は決してめげない。がんばれよし子ちゃん。	인기 아이돌을 목표로 벌써 몇년. 이렇다할 활약이 없는 C급 아이돌. 매일 전철로 다니고 있습니다. 메이드 일을 시작했지만, 무엇을 해도 잘 되지 않고, 실패의 연속으로 해고 직전. 그러나 그녀는 결코 꺾이지 않는다. 힘내라 요시코쨩.
フレンドリーな関西ガール。明るいキャラは客ウケが良い為演じているらしい。つける香水には拘りがあり、特技は家事全般。彼女の作る味噌汁は、塩気よりもダシのうま味を重視し、非常に美味であると評判らしい。	프렌들리한 칸사이 걸. 밝은 캐릭터는 손님접대에 좋기 때문에 맡고 있다. 향수를 뿌리는 데 신경을 쓰는 편이며, 특기는 가사 전반. 그녀가 만드는 된장국은, 소금기보다 국물의 참맛을 중시해, 기막히게 맛있다는 평판인 듯 하다.
とてもお世話焼きな女の子。困っている人を見ると放っておけず、すぐに助け船を出しにいく。彼女の余計なお節介も彼女の天真爛漫な笑顔にはイエスと言わざるをえないだろう。特にお風呂でのご奉仕が好きらしい。	굉장히 보살펴주길 좋아하는 여자아이. 어려운 사람을 보면 내버려 두지 못하고, 바로 도와주러 간다. 그녀의 쓸데없는 참견도 그녀의 천진난만한 미소를 보면 예스라고 말하지 않을 수 없을 것이다. 특히 욕실에서 하는 봉사를 좋아하는 것 같다.
清楚でクールなオトナレディ。メイド歴はそれなりに長く、見聞を広めるために色々なエンパイアクラブを回っている。主人を満足させる方法を日々模索する勤勉なメイド。最近は複数人の夜伽を広めているらしい。	청초하고 쿨한 성숙한 레이디. 메이도 경력은 나름대로 길고, 견문을 넓히기 위해서 여기저기의 엠파이어 클럽을 돌아다니고 있다. 주인을 만족시키는 방법을 항상 모색하는 부지런한 메이드. 최근에는 여러명과 하는 밤시중을 퍼뜨리고 있다고 한다.
メイドクラス	메이드 클래스
ノービスメイド	노비스 메이드
ラブリーメイド	러블리 메이드
エレガンスメイド	엘레강스 메이드
セクシーメイド	섹시 메이드
イノセントメイド	이노센트 메이드
チャームメイド	챠밍 메이드
レディーメイド	레이디 메이드
夜伽クラス	밤시중 클래스
デビューメイド	데뷔 메이드
ルードネスメイド	루드니스 메이드
スレイブメイド	슬레이브 메이드
アブノーマルメイド	앱노멀 메이드
サービスメイド	서비스 메이드
エスコートメイド	에스코트 메이드
ソープメイド	소프 메이드
スウィートメイド	스위트 메이드
パーティメイド	파티 메이드
セックススレイブメイド	섹스 슬레이브 메이드
フェスティバルメイド	페스티벌 메이드
ハーレムメイド	하렘 메이드
ロイヤルソープメイド	로열 소프 메이드
プレイメイド	플레이 메이드
インモラルメイド	임모럴 메이드
ブライドメイド	브라이드 메이드
サキュバスメイド	서큐버스 메이드
クイーンメイド	퀸 메이드
清潔	청　결
絢爛	현　란
評価	평　가
グレード	그레이드
雇用メイド数	고용 메이드 수
資金	자　금
経過日数	경과일수
日目	일째
経営者	경영자
日	일
メイド数	메이드 수
人	명
上書きして保存しますが宜しいですか？	덮어씌워 저장합니다만 괜찮습니까?
データを保存しますか？	데이터를 저장합니까?
データが保存されました。	데이터가 저장되었습니다.
データをロードしますか？	데이터를 로드합니까?
データを削除しますが宜しいですか。	데이터를 삭제합니다만 괜찮습니까?
データを削除しますが宜しいですか？	데이터를 삭제합니다만 괜찮습니까?
コンフィグ	설정
スクリーンショット	스크린 샷
スクリーンショット(UIあり)	스크린 샷 (UI)
ショップ	상점
タイトルへ	타이틀
ゲーム情報	게임 정보
終了	종료
タイトルに戻りますか？	타이틀로 돌아갑니까?
現在タイトルに戻れません。	지금은 타이틀 화면으로 돌아갈 수 없습니다.
$^カスタムメイド3D 2Ver\. ([0-9.]+)$	커스텀 메이드 3D 2\nVer $1
終了しますか？	종료합니까?
システムボタン常時表示	시스템 버튼 항상 표시
スクリーンモード	화면 모드
画面解像度	화면 해상도
アンチエイリアス	안티 앨리어싱
影のクオリティ	그림자 퀄리티
テクスチャクオリティ	텍스쳐 퀄리티
ブルーム	번짐 효과
FPS表示	FPS 표시
キャプチャ倍率	캡쳐 배율
男の透明度	남자 투명도
メッセージウィンドウ透過率	메시지 창 투과율
テキストスピード	텍스트 스피드
オートスピード	오토 스피드
ボイス継続	보이스 지속
マスター	마스터
システム	시스템
ミュージック	뮤직
ダンス	댄스
ボイス	보이스
効果音	효과음
環境音	배경음
射精音の再生	사정음 재생
頭	머리
色	색상
体	체형
叔父	숙부
メイド秘書	메이드 비서
土屋よし子	도야 요시코
土屋	도야
よし子	요시코
宮原安祐美	미야하라 아유미
宮原	미야하라
安祐美	아유미
一之瀬桜	이치노세 사쿠라
一之瀬	이치노세
桜	사쿠라
椎名藍依	시이나 아이
椎名	시이나
藍依	아이
客	고객
男性客	남성 고객
;マスター	마스터
男性客１	남성 고객 1
男性客２	남성 고객 2
メイドＡ	메이드Ａ
メイドＢ	메이드Ｂ
酔っぱらい	술주정꾼
今井	이마이
颯汰	소타
凛太郎	린타로
桔梗	키쿄우
弥生	미오
一見	카즈미
翼	츠바사
鈴	스즈
彩世	아야세
ありさ	아리사
千沙登	치사토
百合子	유리코
藍	아이
美紅	미쿠
香里	카오리
怜湖	레이코
里実	사토미
彩華	사야카
恵実里	에미리
苺	이치고
茉莉	마리
恵実里	에미리
怜	사토
関口	세키구치
加藤	카토
橋本	하시모토
伊集院	이쥬인
菅原	스가와라
柿崎	카키사키
田邉	타나베
谷山	타니야마
朝比奈	아사히나
勅使河原	테시가하라
近藤	콘도
宮本	미야모토
一条	이치죠
深見	후카미
七瀬	나나세
臼井	우스이
和泉	이즈미
中野	나카노
『エンパイアクラブへようこそ』	『엠파이어 클럽에 어서오세요』
『みんなのメイド』	『모두의 메이드』
『よりどりみどり』	『마음대로 고르기』
『メイドの花園』	『메이드 화원』
『貴方だけのメイド』	『당신만의 메이드』
『メイドハーレム』	『메이드 하렘』
『メイド王国』	『메이드 왕국』
『ここがスタートライン』	『여기가 스타트 라인』
『小金持ち』	『작은 부자』
『大金持ち』	『큰 부자』
『大盤振る舞い』	『통큰 씀씀이』
『新生エンパイアクラブ』	『신생 엠파이어 클럽』
『ノービスメイド-レベル5』	『노비스 메이드 - 레벨5』
『ラブリーメイド-レベル5』	『러블리 메이드 - 레벨5』
『エレガンスメイド-レベル5』	『엘레강스 메이드 - 레벨5』
『セクシーメイド-レベル5』	『섹시 메이드 - 레벨5』
『イノセントメイド-レベル5』	『이노센트 메이드 - 레벨5』
『チャームメイド-レベル5』	『챠밍 메이드 - 레벨5』
『レディメイド-レベル5』	『레이디 메이드 - 레벨5』
『デビューメイド-レベル5』	『데뷔 메이드 - 레벨5』
『エスコートメイド-レベル5』	『에스코트 메이드 - 레벨5』
『ルードネスメイド-レベル5』	『루드니스 메이드 - 레벨5』
