서ステージ選択	스테이지 선택
サロンステージ	살롱 스테이지
主人公部屋	주인공 방
プレイルーム	플레이 룸
プール	수영장
ＳＭルーム	ＳＭ 룸
地下室	지하실
ロッカールーム	로커 룸
トイレ	화장실
電車	전철
初代バスルーム	초대 욕실
プレイルーム2	플레이 룸 2
中庭	안뜰
大浴場	큰목욕탕
メイド部屋	메이드 방
花魁風ルーム	기녀풍 룸
ペントハウス	펜트하우스
屋外	옥외
性感帯	성감대
口	입
喉	목구멍
乳首	유두
クリトリス	클리토리스
性癖	성벽
奉仕好き	봉사 선호
淫乱	음란
M女	Ｍ녀
飲精好き	정액 마시기 선호
中出し好き	질내사정 선호
尻穴好き	애널 선호
2穴好き	2구멍 선호
夜伽回数	시중 횟수
接客回数	접객 횟수
体     力	체　력
好感度	호감도
理     性	이　성
精     神	정　신
可     憐	청　순
気     品	기　품
魅     惑	매　혹
奉     仕	봉　사
淫     欲	음　욕
M      性	Μ성향
変     態	변　태
習得率	습득률
指     導	지　도
コスチューム変更	코스튬 변경
興奮値	흥분치
精神	정신
理性	이성
$^興奮\s(-?\d+)$	흥분$1
$^接待\s(-?\d+)$	접대$1
スキル経験値	스킬 경험치
パラメータ変動	파라미터 변경
夜伽クラスレベル	밤시중 클래스 LV
夜伽クラスEXP	밤시중 클래스 EXP
可憐	청순
気品	기품
魅惑	매혹
指導	지도
取得スキル	취득 스킬
取得性癖	취득 성벽
責める	꾸짖는다
強く責める	강하게 꾸짖는다
激しく責める	격렬하게 꾸짖는다
止める	멈춘다
イカせる	가게 한다
中出しする	안에다 사정한다
外出しする	밖에다 사정한다
キスしながら	키스하면서
胸を揉みながら	가슴을 주무르면서
胸を揉みながらキス	가슴을 주무르며 키스
胸を揉みながらキスしながら	가슴을 주무르며 키스 하면서
頭を撫でる	머리를 어루만진다
感じているかいやらしく聞く	느끼고 있는지 추잡하게 묻는다☆
絶頂焦らし	절정 애태운다☆
キスおねだり	키스 졸라대기♡
ホールドおねだり	홀드 졸라대기♡
クリトリスを責める	클리토리스를 꾸짖는다
尻穴を責める	항문을 꾸짖는다
オナニーしながら	자위하면서
メイドが囁く	메이드가 속삭인다
クリトリスを責めながら	클리토리스를 꾸짖으면서
自分の胸を揉みながら	자신의 가슴을 주무르게 하면서
最奥を責める	깊숙한 곳을 꾸짖는다
尻を揉む	엉덩이를 주무른다
擦りつける	비벼댄다
愛撫する	애무한다
クンニする	커닐링구스한다
抱え上げる	안아 올린다
キスをしながら	키스를 하면서
愛撫しあう	서로 애무한다
乱暴に責める	난폭하게 꾸짖는다
秘部を開かせながら	비부를 벌리게 하면서
キスでイカせる	키스로 가게한다★
キスでイかせる	키스로 가게한다★
乳首でイカせる	유두로 가게한다★
クリトリスでイカせる	클리토리스로 가게한다★
放尿絶頂	방뇨 절정
潮吹き絶頂	시오후키 절정
中出しおねだり	질내사정 졸라대기♡
膣内に注ぎ込む	질내에 쏟아낸다
尻穴に注ぎ込む	항문에 쏟아낸다
バイブで責める	바이브로 꾸짖는다
強くバイブで責める	강하게 바이브로 꾸짖는다
ポーズをとらせるA	포즈 A를 취하게 한다
ポーズをとらせるB	포즈 B를 취하게 한다
